"code","name","type","country","flavor_profile","origin","harvest_season","price_per_kg","price_per_pkg","sold_out","grade","altitude","density","processing_method","variety"
"S26-3","牙买加 克里夫顿庄园 蓝山NO.1 水洗","premium","牙买加","雪梨、可可，蔗糖、榛果、奶油、牛奶糖甜、口感滑顺。","Clifton Mount Estate","2023","600.0","560.0","False","NO.1","1300M","868g/l","水洗处理","BLUE MOUNTAIN"
"S28-6","哥伦比亚 牧羊人庄园 粉波旁 椰子糖","premium","哥伦比亚","椰子干，椰子奶糖，太妃糖，巧克力，柑橘，李子，成熟水果，口感柔顺，余韵轻香料。","Finca Pastora","2023","208.0","198.0","False","Supremo","1700-1750M","835g/l","水果酵素厌氧水洗","粉红波旁"
"S27","哥伦比亚 白山庄园 椰子糖","premium","哥伦比亚","椰子糖，柠檬，芒果干，柠檬草，酸质明亮，果糖甜感","Monteblanco Estate","2024","238.0","218.0","False","Supremo","1730M","811g/l","椰子水洗","紫卡杜拉"
"S27-2","哥伦比亚 娜玲珑 17/18目","premium","哥伦比亚","味道均衡性极佳，香气十足，甜度高，与明亮的果酸呼应，果味适中,巧克力余韵","Nariño","2023","76.0","65.0","False","Supremo","1800 - 2150 m","894g/l","水洗处理","Caturra"
"S27-3","哥伦比亚 甘蔗处理 EA低因咖啡","premium","哥伦比亚","黑巧克力，焦糖，平衡，口感顺滑，香醇甘甜。","HUILA","2023","82.0","76.0","False","Supremo","1300-1800M","880g/l","EA处理法","Castillo, Caturra"
"S27-4","哥伦比亚 慧兰 美丽庄园 奇罗索 水洗","premium","哥伦比亚","茉莉花、栀子花、橘子汽水、柑橘西柚、绿茶、风味干净。","Finca Bella","2023","160.0","150.0","False","Supremo","1550-1700M","902g/l","水洗处理","Chiriso"
"S28-1","哥伦比亚 阿尔代庄园 瑰夏 水洗","premium","哥伦比亚","紫色花香浓郁， 柠檬草， 椰子片， 绿茶尾韵。","慧兰Huila 庄园： Finca La Aldea","2023","350.0","","False","Supremo","1860M+","885g/l","水洗处理","瑰夏Geisha"
"S28-2","哥伦比亚 分界线庄园 瑰夏 水洗","premium","哥伦比亚","花香，红茶，柑橘，柠檬草，body厚实。","慧兰Huila 庄园： Finca El Diviso","2023","280.0","","False","Supremo","1800M","830g/l","水洗处理","瑰夏Geisha"
"S28-3","哥伦比亚 分界线庄园 双重厌氧水洗 希爪","premium","哥伦比亚","花香，姜，黄色水果，橙子，薄荷，柠檬酸，酸质明亮，顺滑body。","慧兰Huila 庄园： Finca El Diviso","2023","258.0","248.0","False","Supremo","1700M","846g/l","双重厌氧水洗处理","Sidra希爪"
"S28-4","哥伦比亚 分界线庄园 双重发酵日晒 希爪","premium","哥伦比亚","花香，热带水果，荔枝，百香果，木瓜，顺滑body，回甘甜。","慧兰Huila 庄园： Finca El Diviso","2023","258.0","248.0","False","Supremo","1700M","852g/l","双重发酵日晒处理","Sidra希爪"
"S28-5","哥伦比亚 分界线庄园 双重厌氧水洗 粉波旁","premium","哥伦比亚","茉莉花香、樱桃、水蜜桃、柑橘、成熟水果、类瑰夏调性、醇厚度好。","慧兰Huila 庄 园 ： Finca El Diviso","2023","178.0","168.0","False","Supremo","1700M","846g/l","双重厌氧水洗","Pink Bournbon"
"S28-7","哥伦比亚 分界线庄园 大肚脐 双重发酵日晒","premium","哥伦比亚","红樱桃、葡萄、黄桃、血橙、玫瑰花香、葡萄酒、利口酒、发酵自然清新，果汁感丰富。","慧兰Huila 庄 园 ： Finca El Diviso","2023","340.0","330.0","False","Supremo","1700M","816g/l","双重发酵日晒","Ombligon"
"S28-8","哥伦比亚 分界线庄园 瑰夏 日晒","premium","哥伦比亚","玫瑰花、柑橘、桃子、冰葡萄、覆盆子、复合热带水果、利口酒、发酵感好、高甜度、干净度高。","慧兰Huila 庄 园 ： Finca El Diviso","2023","298.0","","False","Supremo","1800M","871g/l","日晒处理","瑰夏Geisha"
"S28-9","哥伦比亚 红宝石庄园 瑰夏 日晒","premium","哥伦比亚","突出的茉莉花香、甜橙、柑橘、杏桃、红色成熟水果、薄荷味。","慧兰Huila 庄 园 ： Finca El Rubi","2023","280.0","","False","Supremo","1700-1800M","880g/l","日晒处理","瑰夏Geisha"
