"name","type","country","flavor_profile","origin","harvest_season","code","price_per_kg","price_per_pkg","grade","altitude","density","processing_method","variety"
"肯尼亚 基里尼亚加 多门处理厂 AA","premium","肯尼亚","白色花香 莓果 酸质明亮 口感干净","Kirinyaga /Dormans处理厂","2024","S34","115.0","3150.0","AA","1700-2200M","875g/l","水洗处理","SL28， SL34"
"肯尼亚 涅里 可里米里庄园 AA","premium","肯尼亚","黑醋粟 乌梅 青柠 橙汁 蜂蜜 酸甜平衡感好 口感圆润顺滑","Nyeri/kirimiri","2024","S37","110.0","3000.0","AA","1735-1900M","806g/l","水洗处理","SL28"
"肯尼亚 基里尼亚加 康于处理厂AA 微批次","premium","肯尼亚","乌梅 橘子 红糖 茉莉花香 果汁感的酸度 风味清新","Kabare合作社/ Konyui处理厂","2024","S39","120.0","3300.0","AA","1700-1900M","883g/l","水洗处理","SL28,SL34"
"肯尼亚 基安布 卡林加处理厂AA","premium","肯尼亚","黑醋栗 蔷薇 葡萄柚 蜂蜜 黄油 甜感好","Kiambu / Karinga处理厂","2024","S39-1","100.0","2700.0","AA","1840M","866g/l","水洗处理","SL28,SL34"
"肯尼亚 基里尼亚加 穆加亚处理厂AA 微批次","premium","肯尼亚","黑莓 黑醋栗 茉莉花 蓝莓酱 甜李 丁香 明亮适度的酸质 甜感好","Mugaya处理厂","2024","S38","130.0","3690.0","AA","1750M","878g/l","水洗处理","SL28,SL34"
"肯尼亚 撒西尼庄园 PB TOP 圆豆","premium","肯尼亚","莓果 覆盆子 柑橘 小番茄","Kiambu/Sasini","2023","S34-1","80.0","4200.0","PEABERRY","1680M","870g/l","水洗处理","SL28,SL34"
"埃塞俄比亚 瑰夏村 Gori 瑰夏种 红标批次074 日晒","premium","埃塞俄比亚","黑布林 桃子 红苹果 梨 柑橘 红糖 甜度佳","Shaya地块","2023","G2-3","338.0","9600.0","G1","1926--2011M","852g/l","日晒处理","Gori 瑰夏种"
"埃塞俄比亚 瑰夏村 金标批次 批次094 瑰夏1931 日晒","premium","埃塞俄比亚","茉莉花 杏桃 熟葡萄 甜橙汁 绿茶","OMA","2023","G1","365.0","5175.0","G1","1931--2049M","835g/l","日晒处理","Gesha1931"
"埃塞俄比亚 瑰夏村 空运金标批次 2024LOT 050 瑰夏1931 水洗","premium","埃塞俄比亚","红色花香 蔓越莓 热带水果 红糖 伯爵茶感","OMA","2024","G1-1","690.0","20100.0","G1","1931--2049M","845g/l","水洗处理","Gesha1931"
"埃塞俄比亚 瑰夏村 空运金标批次 批次104 瑰夏1931 日晒","premium","埃塞俄比亚","凤梨 哈密瓜 葡萄 菠萝蜜 高甜度 白色花香","Surma","2024","G1-2","690.0","20100.0","G1","1909--2063M","838g/l","日晒处理","Gesha1931"
"埃塞俄比亚 瑰夏村 空运金标批次 批次080 瑰夏1931日晒","premium","埃塞俄比亚","红色花香 苹果 百香果 草莓 高甜度","OMA","2024","G1-3","690.0","20100.0","G1","1931--2049M","843g/l","日晒处理","Gesha1931"
"埃塞俄比亚 瑰夏村 空运红标批次041 Illubabor Forest日晒","premium","埃塞俄比亚","水蜜桃 甜杏 柑橘 回味持久","Gaylee 地块","2024","G2","365.0","5250.0","G1","1916--1982M","912g/l","日晒处理","Illubabor Forest"
"埃塞俄比亚 瑰夏村 Gori 瑰夏种 红标批次046 日晒","premium","埃塞俄比亚","花香 杨桃 无花果 橙子 甜度佳","Shaya地块","2024","G2-1","365.0","5250.0","G1","1926--2011M","873g/l","日晒处理","Gori 瑰夏种"
"埃塞俄比亚 瑰夏村 空运红标批次026 Illubabor Gesha 蜜处理","premium","埃塞俄比亚","莓果 柠檬 热带水果风味 枫糖 高甜","Dimma地块","2024","G2-2","600.0","9600.0","G1","1966--2019M","905g/l","蜜处理","Illubabor Gesha"
"埃塞俄比亚 瑰夏村 Gori Gesha 绿标批次043 蜜处理","premium","埃塞俄比亚","花香 树莓 橙子 芒果 甜感佳","Shaya地块","2024","G3-4","338.0","9600.0","G1","1926--2011M","871g/l","蜜处理","Gori Gesha"
"埃塞俄比亚 科切尔2024 TOH4 日晒","premium","埃塞俄比亚","水蜜桃 果酒 荔枝 杏桃 红糖甜感 柠檬红茶","Kochere/ Kore Beloya","2024","G4","235.0","6600.0","G1","1719M","897g/l","日晒处理","Heirloom"
"埃塞俄比亚 2024 TOH3 水洗","premium","埃塞俄比亚","柠檬 柑橘 莓果 樱桃 黄糖 绿茶茶感","Arach/Molhicha/Mugida","2024","G4-1","135.0","3750.0","G1","1943M","880g/l","水洗处理","kurume"
"埃塞俄比亚 瑰夏村 Illubabor Forest 红标批次087 日晒","premium","埃塞俄比亚","花香 果酱 橘子 热带水果风味 甜瓜 高甜 丰富多变的滋味","Dimma地块","2023","","","","G1","1966--2019M","867g/l","日晒处理","Illubabor Gesha"
