"code","name","type","country","flavor_profile","flavor_category","origin","harvest_season","price_per_kg","price_per_pkg","sold_out","grade","altitude","density","processing_method","variety","humidity","plot","estate"
"T-2","坦桑尼亚 乞力马扎罗 圆豆PB","common","坦桑尼亚","柑橘，莓果，坚果，巧克力，香味浓，口感干净，醇厚。","巧克力坚果调型","Kilimanjaro","2025","82.0","72.0","False","PB","1500M-1900M","825g/l","水洗处理","Bourbon，Catura","12.1%","",""
"K-1","肯尼亚 涅里 奥塔亚 AA","common","肯尼亚","花香， 莓果 ，柑橘 ，黄糖，红茶。","花香茶感型","OTHAYA","2025","99.0","90.0","False","AA","1840M","862g/l","水洗处理","SL28、SL34","10.9%","",""
"K-2","肯尼亚 涅里 AB","common","肯尼亚","柑橘，莓果，花香，甘蔗，干净度好。","明亮果酸型","Nyeri","2025","95.0","87.0","False","AB","1650M","875g/l","水洗处理","SL28、SL34","11.1%","",""
"K-3","肯尼亚 涅里 PB TOP 圆豆","common","肯尼亚","橙子，柑橘，莓果，覆盆子。","明亮果酸型","Nyeri","2024","85.0","76.0","False","PB","1900M","870g/l","水洗处理","SL28、SL34","11.7%","",""
"E-0","埃塞俄比亚 吉玛G4 日晒","common","埃塞俄比亚","柑橘，热带水果，甜感好，口感干净。","果汁感热带水果型","Djimma","2025","71.0","63.0","False","G4","1800M","g/l","日晒处理","Heirloom","%","",""
"E-1","埃塞俄比亚 LEKEMPTI G4 日晒","common","埃塞俄比亚","类似摩卡咖啡豆风味,巧克力,果香，酸度较低，有很好的醇厚度，口感细腻丰富，风味甚佳。","巧克力坚果调型","LEKEMPTI","2025","73.0","65.0","False","G4","2000M","g/l","日晒处理","Heirloom","%","","WOLEGA 合作社"
"E-1A","埃塞俄比亚 西达摩 古齐 G4 日晒","common","埃塞俄比亚","花香，柑橘，莓果，热带水果，坚果，甘甜，香醇。","花香茶感型","Sidamo","2025","76.0","68.0","False","G4","1500-2000M","867g/l","日晒处理","Heirloom","11.2%","",""
"E-1C","埃塞俄比亚 吉玛G4日晒 精选","common","埃塞俄比亚","茉莉花香，柑橘，成熟水果调，红葡萄酒，口感干净。","花香茶感型","Djimma/MPC处理厂","2025","83.0","75.0","False","G4（相当于普通G2）","1800M","873g/l","日晒处理","Heirloom","10.5%","",""
"E-1S","埃塞俄比亚 西达摩 G3 日晒","common","埃塞俄比亚","酒香，草莓，茉莉花香，可可，巧克力。","酒香发酵型","Sidamo","2025","81.0","74.0","False","G3","2000-2200M","840g/l","日晒处理","Heirloom","11.2%","",""
"E-1X","埃塞俄比亚 西达摩 G3 精品 日晒","common","埃塞俄比亚","柑橘，草莓，茉莉花香，可可，巧克力。","明亮果酸型","Sidamo","2025","93.0","85.0","False","G3","2000-2200M","851g/l","日晒处理","Heirloom","10.2%","",""
"E-2A","埃塞俄比亚 班其玛吉 贝贝卡 瑰夏 G3 日晒 精品","common","埃塞俄比亚",":柑橘，柚子,热带水果，丰富浓郁的水果风味，成熟果实的甜感。","果汁感热带水果型","BENCH MAJI","2025","95.0","88.0","False","G3","1900M","882g/l","日晒处理","GEISHA","11.1%","",""
"E-3","埃塞俄比亚 班其玛吉 G3 日晒","common","埃塞俄比亚","柑橘，柚子等丰富浓郁的水果风味，成熟果实的甜感。","果汁感热带水果型","BENCH MAJI","2025","84.0","78.0","False","G3","1600M","868g/l","日晒处理","GEISHA","10.6%","",""
"E-6S","埃塞俄比亚 西达摩G2 精选 水洗","common","埃塞俄比亚","花香，柠檬，柑橘，莓果，甜感好，口感干净。","花香茶感型","SIDAMO","2025","84.0","76.0","False","G2","1950-2150M","865g/l","水洗处理","Heirloom","11.5%","",""
