类型,编号,咖啡豆名,风味
常用,I-2,印度尼西亚苏门答腊曼特宁G1印度尼西亚,草药，香料，坚果，巧克力，焦糖，低酸值，醇厚，油脂丰富
常用,I-3,印度尼西亚苏门答腊林东曼特宁G1三次手选,奶油，黑糖，香料，焦糖甜香明显，醇厚度高。 2025新产季
常用,I-4,印度尼西亚苏门答腊GAYO曼特宁G1三次手选,花香，莓果，香料，苏格兰黄油，黑巧克力，坚果，
常用,I-5,印度尼西亚罗布斯塔日晒1718,巧克力风味，焦糖的甜感，高醇厚度，口感干净，油脂丰厚。
常用,V-1,越南罗布斯塔18目,香味浓，香醇，气味独特。
常用,U-1,乌干达罗布斯塔18目,口感纯净，香气浓郁，拼配的最佳选择。
常用,U-1A,乌干达罗布斯塔17目,口感纯净，香气浓郁，坚果，巧克力。
常用,U-1S,乌干达罗布斯塔15目,口感纯净，香气浓郁，拼配的最佳选择。
常用,U-2,乌干达布基苏AA阿拉比卡1718目,坚果香，口感醇厚，干净无杂味
常用,LA-1,老挝阿拉比卡水洗老挝,果香，蜂蜜，核果，醇厚度好，风味均衡，口感细腻浓郁。
常用,P-2,巴布亚巴布亚新几内亚东高地AX水洗,柑橘，莓果，绿茶，酸度适中，枫糖。
常用,P-3,巴布亚巴布亚新几内亚东高地A,甘蔗，奶油，坚果，高甜度，平衡感好。
常用,P-4,巴布亚巴布亚新几内亚哈根山Y,榛子，坚果，莓果，焦糖，蜂蜜，平衡度高。
常用,P-5,巴布亚巴布亚新几内亚哈根山MIXABY,柑橘，黑巧克力，酸度适中，平衡，高甜度，口感厚实。
常用,H-1,洪都拉斯水洗SHG内袋,柠檬，果酸，烤坚果，焦糖饼干，可可，巧克力。
常用,PE-1,秘鲁库斯科水洗,坚果，酸质均衡，醇厚浓郁。
常用,B-1,巴西14-16目NY2-3FC日晒,坚果，巧克力，麦芽，甘甜。
常用,B-2,巴西圣多斯,"坚果、巧克力，麦芽,甘甜，入口极为顺滑。"
常用,B-3,巴西喜拉多日晒,坚果，奶油，可可，巧克力，甜度高.
常用,B-5,巴西喜拉多甜蜜日晒,坚果，焦糖及巧克力香气持久，高干净度，低酸度，醇厚，甜度高.
常用,CR-1,哥斯达黎加塔拉珠牧童庄园SHB哥斯达黎加,蜂蜜，花香，梅子，巧克力，均衡度佳。
常用,G-1,危地马拉微微特南果SHB,可可，杏仁，果巧克力，丰富果酸，香味浓郁。
常用,CB-1,哥伦比亚慧兰苏帕摩,坚果类、巧克力和焦糖的湿香，风味十足，口味香醇。
常用,CB-2,哥伦比亚麦德林苏帕摩,甜橙，坚果、巧克力，酸甜平衡感好，香气足。
常用,CB-3,哥伦比亚EP10,甜橙，葡萄柚，坚果，巧克力，酸甜平衡感好，香气足。
常用,R-1,卢旺达波旁种水洗15目,麦芽糖，柠檬酸，热巧克力，口感温和干净。
常用,T-1,坦桑尼亚乞力马扎罗AA,坚果，巧克力，香味浓，口感干净，丰富，醇厚。
常用,T-2,坦桑尼亚乞力马扎罗圆豆PB,柑橘，莓果，坚果，巧克力，香味浓，口感干净，醇厚。
常用,K-1,肯尼亚涅里奥塔亚AA,花香， 莓果 ，柑橘 ，黄糖，红茶。
常用,K-2,肯尼亚涅里AB,柑橘，莓果，花香，甘蔗，干净度好。
常用,K-3,肯尼亚涅里PBTOP圆豆,橙子，柑橘，莓果，覆盆子。
常用,E-0,埃塞俄比亚吉玛G4日晒,柑橘，热带水果，甜感好，口感干净。
常用,E-1,埃塞俄比亚LEKEMPTIG4日晒,"类似摩卡咖啡豆风味,巧克力,果香，酸度较低，"
常用,E-1C,埃塞俄比亚吉玛G4日晒精选内袋低瑕疵,茉莉花香，柑橘，成熟水果调，红葡萄酒，口感干净。
常用,E-1S,埃塞俄比亚西达摩G3日晒,酒香，草莓，茉莉花香，可可，巧克力。
常用,E-1X,埃塞俄比亚西达摩G3精品日晒MPC低瑕疵,柑橘，草莓，茉莉花香，可可，巧克力。
常用,E-2A,埃塞俄比亚班其玛吉贝贝卡瑰夏G3日晒精品超低瑕疵,"柑橘，柚子,热带水果，丰富浓郁的水果风味，成熟果实的甜感。"
常用,E-3,埃塞俄比亚班其玛吉G3日晒,柑橘，柚子等丰富浓郁的水果风味，成熟果实的甜感。
常用,E-6S,埃塞俄比亚西达摩G2精选水洗内袋,花香，柠檬，柑橘，莓果，甜感好，口感干净。
常用,E-7,埃塞俄比亚西达摩古齐G2精品水洗,柑橘，柠檬，茉莉花香，口感干净，果汁感。
常用,E-9,埃塞俄比亚卡法G2水洗,橙子，李子， 柑橘酸，青柠， 绿茶尾韵。
常用,E-11,埃塞俄比亚利姆水洗UG,柠檬，柑橘，枫糖，奶油，风味干净。
精品,S1-1,印度尼西亚苏门答腊多巴湖黄金曼特宁19目印度尼西亚,平衡，醇厚度高，果酸明亮，坚果，甜巧克力，焦糖，余韵悠长。
精品,S1-2,印度尼西亚苏门答腊黄金曼特宁20目颗粒饱满印度尼西亚,干净，醇厚度高，焦糖甜香明显，果酸明亮。
精品,S1-2S,印度尼西亚苏门答腊黄金曼特宁21目印度尼西亚,干净，醇厚度高，莓果，花香，香料，黑巧克力，高甜。
精品,S4-2,巴布亚新几内亚西格里庄园天堂鸟AA巴布亚,焦糖甜明显，水果软糖带着蜂蜜香气，黑巧克力，奶油，松木，香料。
精品,S5-2,巴西摩吉安娜翠鸟黄波旁,坚果，巧克力，甘蔗，口感柔滑细腻，尾韵持久。
精品,S6-0,哥斯达黎加圣萝蔓处理厂蜂鸟日晒,黑布林，草莓，葡萄，坚果，红糖。
精品,S6-1,哥斯达黎加小蜜蜂日晒,葡萄干，养乐多，苹果，康普茶。
精品,S8-1,哥斯达黎加马丁帕迪拉处理厂厌氧日晒,葡萄酒，蓝莓，芒果，桃子酸奶，杏桃，果汁与复杂的酒感。
精品,S8-2A,哥斯达黎加女神庄园瑰夏厌氧日晒,蓝莓，水蜜桃，甜瓜，热带水果，蜂蜜，奶油，
精品,S8-3,哥斯达黎加巨石庄园瑰夏日晒,花香，甜橙， 菠萝， 葡萄，高甜度，风味丰富多变。
精品,S9-1,哥斯达黎加西部山谷蓝马车庄园黄蜜处理,柑橘，葡萄，焦糖，柔和的酸质。
精品,S10-1,哥斯达黎加火凤凰庄园黑玫瑰厌氧日晒,蓝莓果酱，葡萄，凤梨干，水梨。
精品,S12-1,哥斯达黎加卡内特庄园葡萄干蜜处理音乐家巴哈,浓烈酒香、加州黑李、蜜饯、太妃糖甜、瑞士巧克力、尾韵有着兰姆酒般醇厚。
精品,S12-2,哥斯达黎加卡内特音乐家系列莫扎特哥斯达黎加1900M葡萄干蜜处理,新鲜菠萝、综合莓果、番石榴酸、蜜饯、焦糖、核果，风味强劲。
精品,S12-3,哥斯达黎加卡内特庄园葡萄干蜜处理音乐家肖邦,葡萄干，酒酿樱桃，黑莓，蔗糖，铁观音。
精品,S12-4,哥斯达黎加米拉珠庄园葡萄干蜜处理瑰夏拼配,爆炸茉莉花香，柠檬， 草莓糖， 水蜜桃， 水果酒。
精品,S12-4A,哥斯达黎加米拉珠庄园瑰夏拼配酵素水洗,百里香，香草植物，白柚，蔗糖，红茶。
精品,S12-5A,哥斯达黎加米拉珠庄园卡杜拉红蜜,杨桃，酸苹果，柑橘，蔗糖，杏仁，红茶。
精品,S12-6,哥斯达黎加巨石庄园F1黑蜜处理,葡萄干的香气、葡萄干的酸值与甜感、
精品,S12-7,哥斯达黎加小蜜蜂黑蜜处理,黄花、橘子、枣子、绿茶。
精品,S12-8,哥斯达黎加小蜜蜂H1红蜜处理,柑橘、橙皮、葡萄柚、白葡萄、蜂蜜、绿茶。
精品,S14-7,哥斯达黎加拉斯拉哈斯黑珍珠日晒,黑莓，黑布林，葡萄干，蜜饯，酒香，甜感持久饱满，BODY厚实。
精品,S15-1,秘鲁禅茶玛悠瑰夏厌氧水洗秘鲁,花香，蓝莓，苹果酸，成熟水果，巧克力，糖浆，奶油，口感柔顺。
精品,S15-2,秘鲁禅茶玛悠瑰夏黄蜜处理秘鲁,茉莉，果香，柑橘，柠檬，蜂蜜甜，红糖，麦芽，口感顺滑。
精品,S16-1,萨尔瓦多戈巴多庄园彩虹波旁厌氧日晒萨瓦尔多,葡萄，苹果，莓果，柠檬，坚果，巧克力，甜感好，风味浓郁，口感圆润顺滑。
精品,S18-1,危地马拉安提瓜拉米尼塔花神危地马拉,独有的花香气息结合柔顺清新的柑橘滋味，让花香与水果甜香
精品,S20-2,巴拿马翡翠庄园红标瑰夏日晒巴拿马,茉莉花，树莓，芒果，蜂蜜，果汁感，质地干净，风味优雅。
精品,S20-3,巴拿马翡翠庄园红标瑰夏水洗巴拿马,玫瑰花，柠檬草，柑橘，佛手柑，蔗糖。
精品,S20-4,巴拿马翡翠庄园瑰夏绿标日晒巴拿马,茉莉花，葡萄柚，热带水果，蜂蜜，果汁感。 2025新产季
精品,S20-5,巴拿马翡翠庄园瑰夏绿标水洗巴拿马,玫瑰花香，甜杏，柑橘，菠萝，蜂蜜与柑橘香气，果汁感。
精品,S21-1,巴拿马艾利达庄园慢速干燥厌氧发酵日晒瑰夏巴拿马2019BOP瑰夏日晒第一名同海拨同地块,无花果、芒果干、柑橘、蜜糖吐司、酸甜滑顺、尾韵枫糖与温带水果茶。
精品,S21-2,巴拿马驴子庄园瑰夏ASD厌氧慢速日晒巴拿马,香瓜、波罗蜜、发酵、蓝莓、可可、层次感丰富、酸甜平衡，口感圆润滑顺。
精品,S21-3,巴拿马石墙庄园红标瑰夏日晒巴拿马,橙花，柑橘，樱桃，红茶，香气迷人，令人陶醉。 2025新产季
精品,S21-5,巴拿马波奎特艾尔维拉庄园瑰夏蓝标水洗巴拿马,茉莉花香，柑橘，橙子，苹果，柠檬茶。
精品,S21-6A,巴拿马玛玛卡特庄园瑰夏蓝标水洗巴拿马,迷人的花茶、茉莉花香，蜂蜜与柑橘香气，有清新活泼的柠檬酸，
精品,S21-7,巴拿马玛玛卡特庄园瑰夏蓝标厌氧日晒巴拿马,紫葡萄， 红糖，凤梨， 桃子，橘子糖。
精品,S22-4,巴拿马卡萨路易斯庄园瑰夏日晒巴拿马,茉莉花，水蜜桃，佛手柑，凤梨，莓果。
精品,S22-5,巴拿马90VolcanValley瑰夏巴拿马,樱桃，西梅，覆盆子，米酒。
精品,S22-7A,巴拿马维纳斯小农瑰夏蓝标日晒巴拿马,茉莉花、柑橘、葡萄柚、水蜜桃，蜂蜜。
精品,S22-7,巴拿马维纳斯小农瑰夏蓝标水洗巴拿马,茉莉花、柑橘、葡萄柚、牛奶糖、蜂蜜、香水柠檬，
精品,S22-8A,巴拿马波奎特花蝴蝶70瑰夏水洗巴拿马,花香、佛手柑、蜂蜜、柑橘、莓果、茶香、樱桃，果汁甜，酸细致不刺激，
精品,S22-8,巴拿马波奎特花蝴蝶70瑰夏厌氧日晒巴拿马,花香，柑橘，苹果，李子与热带水果风味，
精品,S23-1,巴拿马卡门庄园卡杜拉水洗巴拿马,柑橘，蜜桃，热带水果，蜂蜜，甜感好，口感干净。
精品,S69-1,洪都拉斯雪莉洪都拉斯莫卡庄园威士忌酒桶发酵处理,香草、威士忌、蜂蜜，奶油。
精品,S26-1,牙买加蓝山恩博庄园NO1牙买加,口感顺滑，芳香浓郁，甘、酸、苦均匀而强烈，巧克力，蓝莓，香醇。
精品,S26-7,牙买加康丘特庄园蓝山一号水洗牙买加,歌帝梵巧克力、烤苹果酸、酸度中、 醇厚度轻盈、干净度佳、甜感明显。 2025新产季
精品,S26-8,牙买加康丘特庄园蓝山一号水洗19目牙买加,白色花香，浅烘焙有柑橘调性，中度烘焙后， 2025新产季
精品,S27-2,哥伦比亚娜玲珑1718目哥伦比亚,"莓果，柑橘，香气十足，甜度高，与明亮的果酸呼应,巧克力余韵。"
精品,S27-1,哥伦比亚美景庄园玲珑蜜瓜,哈密瓜， 西瓜， 蜂蜜，焦糖。
精品,S27-1S,哥伦比亚阿那亚庄园西瓜哥伦比亚,西瓜，葡萄柚，水蜜桃，冰淇淋，蜜瓜调水果饮料，风味清新自然。
精品,S27-3,哥伦比亚瑞士水处理低因咖啡哥伦比亚,黑巧克力，焦糖，平衡，口感顺滑，香醇甘甜。
精品,S27-7,哥伦比亚蒙特利尔庄园瑰夏2023冬季COE冠军哥伦比亚,突出花香、柑橘、杏桃、红色樱桃、红茶、多汁浆果、传统的花香调性、
精品,S27-10,哥伦比亚泉水庄园瑰夏水洗哥伦比亚,茉莉花，蜜橘，枫糖，葡萄柚，饱满精致。
精品,S27-10S,哥伦比亚漫步庄园瑰夏半水洗哥伦比亚,橙子，橘子，花香和柠檬草，红糖，带有茉莉花、松树
精品,S27-11,哥伦比亚独木舟庄园瑰夏蜜处理哥伦比亚,花香，芒果，红莓，蜂蜜茶，饱满多汁。
