名称,产地,产区,品种,含水量(%),处理法,密度(g/l),等级,海拔(m),产季,每公斤价格(人民币)
哥斯达黎加 塔拉珠 圣迭戈处理厂 蜂鸟,哥斯达黎加,塔拉珠,Caturra Caruai,12,水洗处理,851,SHB,1500-2000,2025,88
哥伦比亚 甄选庄园 尖身波旁 天然低因,哥伦比亚,托利马,尖身波旁天然低因,,日晒处理,,Supremo,1780,2025,590
哥伦比亚 牧羊人庄园 粉红波旁 水洗,哥伦比亚,HUILA,粉红波旁,,水洗处理,,Supremo,1700-1750,2025,160
牙买加 蓝山 恩博庄园 NO.1,牙买加,AMBER,BLUE MOUNTAIN,10.8,水洗处理,853,NO.1,1800,2025,650
印度尼西亚 罗布斯塔 日晒 17/18,印度尼西亚,印尼,Robusta,10.4,日晒抛光,803,G1,1350‒1400,2025,51
牙买加 康丘特庄园 蓝山一号 水洗,牙买加,Country Traders Estate,BLUE MOUNTAIN,11.2,水洗处理,845,G1,1600,2025,580
牙买加 康丘特庄园 蓝山一号 水洗 19目,牙买加,Country Traders Estate,BLUE MOUNTAIN,11.2,水洗处理,,G1,1600,2025,690
埃塞俄比亚 西达摩G1阿贝果娜 日晒 小圆豆（小粒）,埃塞俄比亚,Arbegona Bursa(Muntasha蒙塔莎 COE 冠军小农),74158,10.2,日晒处理,864,G1,1900-2300,2025,138
肯尼亚 涅里 超级玛蒂 AB,肯尼亚,涅里/RUSHAKA FCS,SL28,11,水洗处理,870,AB,1880-1970,2025,138
埃塞俄比亚 古吉 罕贝拉 2025TOH日晒第2名,埃塞俄比亚,Guji Hambella Wamena 处理站,Dega，Kurum i,10.6,日晒处理,873,G1,2150-2300,2025,142
哥斯达黎加 米拉珠庄园 瑰夏拼配 酵素水洗,哥斯达黎加,Mirazu庄园,Geisha 、ET47、 SL28、 Maico,11.2,酵素水洗处理,837,SHB,1700,2025,160
巴拿马 卡门庄园 卡杜拉 日晒,巴拿马,巴鲁火山/卡门庄园,卡杜拉,9.8,日晒处理,864,SHB,1550-2000,2024,100
巴拿马 卡门庄园 卡杜拉 水洗,巴拿马,巴鲁火山/卡门庄园,卡杜拉,10.4,水洗处理,833,SHB,1550-2000,2024,98
埃塞俄比亚 卡法森林 瑰夏 水洗 G1,埃塞俄比亚,卡法森林,GEISHA,11,水洗处理,848,G1,1800,2025,85
哥斯达黎加 塔拉珠 圣迭戈处理厂 蜂鸟,哥斯达黎加,塔拉珠,Caturra Caruai,12,水洗处理,851,SHB,1500-2000,2025,88
印度尼西亚苏门答腊曼特宁G1,印度尼西亚,Sumatra,Mandeling,13.5,澄清剂,860,G1,1300-1600,2025,
印度尼西亚苏门答腊林东曼特宁G1三次手选,印度尼西亚,苏门答腊,Mandeling,13.7,澄清剂,873,G1,1300-1700,2025,
印度尼西亚苏门答腊GAYO曼特宁G1三次手选,印度尼西亚,伽拉山,铁皮卡,12.4,澄清剂,849,G1 T/P/三次手选,1400-1600,2025,
印度尼西亚罗布斯塔日晒17/18,印度尼西亚,印尼,Robusta,10.4,日晒热光,803,G1,1350-1400,2025,
越南罗布斯塔18目,越南,Dat Lat,Robusta,11.3,日晒热光,864,G1,800-1100,2025,
乌干达 罗布斯塔 18目,乌干达,Uganda,Robusta,10.9,日晒抛光,813,AA,800-1100,2025,51
乌干达 罗布斯塔 17目,乌干达,Uganda,Robusta,10.9,日晒抛光,813,AA,800-1100,2025,50
乌干达 罗布斯塔 15目,乌干达,Uganda,Robusta,11.8,日晒抛光,836,AA,1500,2025,47
乌干达 布基苏 AA 阿拉比卡 (17/18目),乌干达,Bugisu,阿拉比卡,11.6,水洗处理,860,AA,1600,2025,75
老挝 阿拉比卡 水洗,老挝,Laos,卡蒂姆,12.2,水洗处理,830,,900-1300,2024/2025,62
云南普洱 思茅 红酒日晒,中国,思茅橙饮山,卡蒂姆Catimor,10.7,红酒日晒,806,AA,1300-1500,2025,76
云南 普洱 红酒日晒 帕亮,中国,普洱孟连,卡蒂姆Catimor,10.6,红酒日晒,818,AA,1300-1400,2025,78
云南 普洱 思茅 日晒,中国,澜沧江畔,卡蒂姆,13.2,日晒处理,832,AA,1400-1600,2025,75
云南孟连 红酒日晒,中国,普洱孟连,卡蒂姆Catimor,10.9,红酒日晒,832,AA,1400-1500,2025,78
云南 孟连 双重厌氧发酵日晒（重发酵）,中国,普洱孟连,卡蒂姆Catimor,11,双重厌氧发酵日晒,805,AA,1600,2025,73
云南 西双版纳 紫叶卡杜拉 水洗,中国,西双版纳 勤海 西定,紫叶卡杜拉 (德热296),,K72水洗,,AA,1200-1700,2025,86
云南 雪莉,中国,云南,卡蒂姆,,酵母浸渍处理法,,AA,,2025,125
云南 茉莉,中国,云南,卡蒂姆,,酵母浸渍处理法,,AA,,2025,125
